layer,gsm8k,delta
baseline_gptq_w4,16.0,0
0,16.0,0.0
1,17.0,1.0
2,11.0,-5.0
3,9.0,-7.0
4,14.0,-2.0
5,14.0,-2.0
6,17.0,1.0
7,13.0,-3.0
8,15.0,-1.0
9,15.0,-1.0
10,11.0,-5.0
11,19.0,3.0
12,11.0,-5.0
13,13.0,-3.0
14,11.0,-5.0
15,15.0,-1.0
16,12.0,-4.0
17,15.0,-1.0
18,11.0,-5.0
19,12.0,-4.0
20,15.0,-1.0
21,15.0,-1.0
22,14.0,-2.0
23,14.0,-2.0
lm_head,16.0,0.0
embedding,16.0,0.0
