Model,fp16,rtn,gptq,awq,smoothquant
Qwen2.5-0.5B,22.1961,29.8164,27.5413,29.8883,22.2314
Qwen2.5-1.5B,15.3325,19.2656,17.6456,17.7211,15.3876
SmolLM-1.7B,16.0055,21.1531,21.6492,23.7604,16.1606
