layer,count_t099,count_t095,count_t09
0,0,0,0
1,0,0,0
2,0,0,0
3,0,1,0
4,0,0,0
5,0,1,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,1,0
11,0,0,0
12,7,3,0
13,8,3,1
14,5,0,0
15,2,0,0
16,4,9,9
17,0,0,9
18,1,4,7
19,2,3,1
20,1,1,0
21,0,0,0
22,2,11,4
23,17,13,19
